"participant","prompt","stimulus","stimulus_voice","word_pair","variable_1","variable_2","vs","variable_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","dimension","slider_response"
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>dapper dagger</p>","dapperdagger-p06-ic","p06","dapperdagger","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"age",0.581
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>tagger cabin</p>","taggercabin-p07-cc","p07","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,1,"age",0.559
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>dapper cabin</p>","dappercabin-p01-ci","p01","dappercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,"age",0.73
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>party cotton</p>","partycotton-p07-rr","p07","partycotton","t","t","tt",TRUE,"Innovative","Innovative","InnovativeInnovative","rr","tInnovative","tInnovative",TRUE,1,"age",0.58
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>tagger cabin</p>","taggercabin-p05-ic","p05","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"age",0.689
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>dotty garter</p>","dottygarter-p08-sr","p08","dottygarter","t","t","tt",TRUE,"Conservative","Innovative","ConservativeInnovative","sr","tConservative","tInnovative",FALSE,1,"age",0.388
"exp96","<p class='top-prompt'>How old does this speaker sound?</p><p class='bottom-prompt'>badder party</p>","badderparty-p06-cr","p06","badderparty","TRAP","t","TRAPt",FALSE,"Conservative","Innovative","ConservativeInnovative","cr","TRAPConservative","tInnovative",FALSE,1,"age",0.658
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>baggy cotton</p>","baggycotton-p07-ir","p07","baggycotton","TRAP","t","TRAPt",FALSE,"Innovative","Conservative","InnovativeConservative","ir","TRAPInnovative","tConservative",FALSE,2,"gender",0.425
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>tagger cabin</p>","taggercabin-p01-ii","p01","taggercabin","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,2,"gender",0.806
"exp96","<p class='top-prompt'>How masculine does this speaker sound?</p><p class='bottom-prompt'>bottom dagger</p>","bottomdagger-p04-si","p04","bottomdagger","t","TRAP","tTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","si","tInnovative","TRAPInnovative",TRUE,2,"gender",0.55
