"participant","stimulus","stimulus_voice","word_pair","vowel_1","vowel_2","vs","vowel_same","v1_type","v2_type","v_types","v_types_shorthand","vm1","vm2","manipulation_matching","block","binary_response","binary_response_numeric"
"exp431","bigpack-p01-ci","p01","bigpack","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,4,"less masculine",0
"exp431","badbag-p08-cc","p08","badbag","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,4,"less masculine",0
"exp431","badgig-p06-ci","p06","badgig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,4,"more masculine",1
"exp431","badbag-p07-ic","p07","badbag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,4,"more masculine",1
"exp431","bagtag-p01-ic","p01","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,4,"more masculine",1
"exp431","pigdig-p07-ci","p07","pigdig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,4,"less masculine",0
"exp431","badgig-p05-cc","p05","badgig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,4,"more masculine",1
"exp431","cabback-p04-ci","p04","cabback","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,4,"less masculine",0
"exp431","bigdad-p04-ci","p04","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,4,"less masculine",0
"exp431","bigfig-p07-cc","p07","bigfig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,4,"more masculine",1
"exp431","thickpig-p05-ii","p05","thickpig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,4,"less masculine",0
"exp431","bigpack-p06-ii","p06","bigpack","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,4,"more masculine",1
"exp431","badpig-p04-cc","p04","badpig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,4,"less masculine",0
"exp431","badkick-p06-ci","p06","badkick","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,4,"less masculine",0
"exp431","badfig-p08-ci","p08","badfig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,4,"less masculine",0
"exp431","bigpick-p04-ci","p04","bigpick","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,4,"more masculine",1
"exp431","kiddig-p01-ic","p01","kiddig","KIT","KIT","KITKIT",TRUE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","KITConservative",FALSE,4,"less masculine",0
"exp431","bigdad-p08-cc","p08","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,4,"less masculine",0
"exp431","tagback-p01-ii","p01","tagback","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,4,"less masculine",0
"exp431","bigpick-p05-ci","p05","bigpick","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,4,"more masculine",1
"exp431","badbid-p08-ii","p08","badbid","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,4,"less masculine",0
"exp431","baddad-p05-cc","p05","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,4,"more masculine",1
"exp431","badtap-p06-ci","p06","badtap","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,4,"less masculine",0
"exp431","kiddig-p06-cc","p06","kiddig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,4,"more masculine",1
"exp431","bagtag-p07-ci","p07","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,4,"more masculine",1
"exp431","bigbag-p05-ci","p05","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,4,"more masculine",1
"exp431","digbig-p06-ii","p06","digbig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,4,"more masculine",1
"exp431","kickdad-p06-ic","p06","kickdad","KIT","TRAP","KITTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","TRAPConservative",FALSE,4,"less masculine",0
"exp431","badpig-p05-ci","p05","badpig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,4,"less masculine",0
"exp431","badbid-p01-ii","p01","badbid","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","KITInnovative",TRUE,4,"more masculine",1
"exp431","bigkid-p08-ci","p08","bigkid","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,4,"less masculine",0
"exp431","baddad-p08-ic","p08","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,4,"less masculine",0
"exp431","bagtag-p04-ii","p04","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,4,"less masculine",0
"exp431","bigbag-p07-cc","p07","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,4,"more masculine",1
"exp431","badkid-p01-cc","p01","badkid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,4,"more masculine",1
"exp431","bigbag-p05-ic","p05","bigbag","KIT","TRAP","KITTRAP",FALSE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","TRAPConservative",FALSE,4,"more masculine",1
"exp431","badgig-p04-ic","p04","badgig","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","KITConservative",FALSE,4,"more masculine",1
"exp431","bigkick-p08-ii","p08","bigkick","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,4,"less masculine",0
"exp431","kiddig-p01-ci","p01","kiddig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,4,"more masculine",1
"exp431","badtap-p06-cc","p06","badtap","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","TRAPConservative",TRUE,4,"more masculine",1
"exp431","bigdad-p07-ii","p07","bigdad","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,4,"less masculine",0
"exp431","badfig-p07-ic","p07","badfig","TRAP","KIT","TRAPKIT",FALSE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","KITConservative",FALSE,4,"less masculine",0
"exp431","kiddig-p04-cc","p04","kiddig","KIT","KIT","KITKIT",TRUE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","KITConservative",TRUE,4,"less masculine",0
"exp431","tagback-p05-ii","p05","tagback","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,4,"more masculine",1
"exp434","kiddig-p06-ii","p06","kiddig","KIT","KIT","KITKIT",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","KITInnovative",TRUE,1,"not strong NZ accent",1
"exp434","bigbag-p07-ci","p07","bigbag","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,"strong NZ accent",0
"exp434","badpig-p06-ci","p06","badpig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,1,"strong NZ accent",0
"exp434","badbag-p01-ii","p01","badbag","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Innovative","InnovativeInnovative","ii","TRAPInnovative","TRAPInnovative",TRUE,1,"strong NZ accent",0
"exp434","baddad-p06-ic","p06","baddad","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"not strong NZ accent",1
"exp434","bagtag-p05-ci","p05","bagtag","TRAP","TRAP","TRAPTRAP",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","TRAPInnovative",FALSE,1,"not strong NZ accent",1
"exp434","bigfig-p07-ic","p07","bigfig","KIT","KIT","KITKIT",TRUE,"Innovative","Conservative","InnovativeConservative","ic","KITInnovative","KITConservative",FALSE,1,"not strong NZ accent",1
"exp434","badback-p05-ic","p05","badback","TRAP","TRAP","TRAPTRAP",TRUE,"Innovative","Conservative","InnovativeConservative","ic","TRAPInnovative","TRAPConservative",FALSE,1,"strong NZ accent",0
"exp434","bigpig-p06-ci","p06","bigpig","KIT","KIT","KITKIT",TRUE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","KITInnovative",FALSE,1,"not strong NZ accent",1
"exp434","badpig-p07-ci","p07","badpig","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,1,"strong NZ accent",0
"exp434","badbid-p01-cc","p01","badbid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Conservative","ConservativeConservative","cc","TRAPConservative","KITConservative",TRUE,1,"strong NZ accent",0
"exp434","bigdad-p08-ci","p08","bigdad","KIT","TRAP","KITTRAP",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","KITConservative","TRAPInnovative",FALSE,1,"strong NZ accent",0
"exp434","bigpack-p06-cc","p06","bigpack","KIT","TRAP","KITTRAP",FALSE,"Conservative","Conservative","ConservativeConservative","cc","KITConservative","TRAPConservative",TRUE,1,"strong NZ accent",0
"exp434","badbid-p04-ci","p04","badbid","TRAP","KIT","TRAPKIT",FALSE,"Conservative","Innovative","ConservativeInnovative","ci","TRAPConservative","KITInnovative",FALSE,1,"not strong NZ accent",1
"exp434","biggap-p01-ii","p01","biggap","KIT","TRAP","KITTRAP",FALSE,"Innovative","Innovative","InnovativeInnovative","ii","KITInnovative","TRAPInnovative",TRUE,1,"not strong NZ accent",1
