Filename,Mean_F0_(Hz),experiment
p_04-20240603-1249-48.wav,104.99,vowel_and_t
p_04-20240603-1249-49.wav,101.15,vowel_and_t
p_04-20240603-1249-50.wav,101.86,vowel_and_t
p_04-20240603-1249-51.wav,105.42,vowel_and_t
p_04-20240603-1249-52.wav,101.15,vowel_and_t
p_04-20240603-1249-53.wav,106.21,vowel_and_t
p_04-20240603-1249-54.wav,102.21,vowel_and_t
p_04-20240603-1249-55.wav,107.93,vowel_and_t
p_04-20240603-1249-56.wav,129.39,vowel_and_t
p_04-20240603-1249-57.wav,104.09,vowel_and_t
p_04-20240603-1249-58.wav,102.85,vowel_and_t
p_04-20240603-1249-59.wav,106.5,vowel_and_t
p_04-20240603-1249-60.wav,102.82,vowel_and_t
p_04-20240603-1249-61.wav,95.91,vowel_and_t
p_04-20240603-1249-62.wav,97.84,vowel_and_t
p_04-20240603-1249-63.wav,98.32,vowel_and_t
p_04-20240603-1249-64.wav,102.5,vowel_and_t
p_04-20240603-1249-65.wav,105.31,vowel_and_t
p_04-20240603-1249-66.wav,97.66,vowel_and_t
p_04-20240603-1249-67.wav,104.22,vowel_and_t
p_04-20240603-1249-68.wav,104.67,vowel_and_t
p_04-20240603-1249-69.wav,104.86,vowel_and_t
p_04-20240603-1249-70.wav,104.11,vowel_and_t
p_04-20240603-1249-71.wav,108.83,vowel_and_t
p_04-20240603-1249-72.wav,105.7,vowel_and_t
p_04-20240603-1249-73.wav,110.78,vowel_and_t
p_04-20240603-1249-74.wav,107.11,vowel_and_t
p_04-20240603-1249-75.wav,108.47,vowel_and_t
p_04-20240603-1249-76.wav,105.26,vowel_and_t
p_04-20240603-1249-77.wav,114.24,vowel_and_t
p_04-20240603-1249-78.wav,99.11,vowel_and_t
p_04-20240603-1249-79.wav,96.29,vowel_and_t
p_04-20240603-1249-80.wav,103.4,vowel_and_t
p_04-20240603-1249-81.wav,106.55,vowel_and_t
p_04-20240603-1249-82.wav,102.16,vowel_and_t
p_04-20240603-1249-83.wav,106.42,vowel_and_t
p_04-20240603-1249-84.wav,102.39,vowel_and_t
p_04-20240603-1249-85.wav,112.35,vowel_and_t
p_04-20240603-1249-86.wav,102.01,vowel_and_t
p_04-20240603-1249-87.wav,101.71,vowel_and_t
p_04-20240603-1249-88.wav,108.04,vowel_and_t
p_04-20240603-1249-89.wav,102.56,vowel_and_t
p_04-20240603-1249-90.wav,104.61,vowel_and_t
p_04-20240603-1249-91.wav,99.92,vowel_and_t
p_05-20240604-1030-01.wav,150.68,vowels_only
p_05-20240604-1030-02.wav,114.94,vowels_only
p_05-20240604-1030-03.wav,99.34,vowels_only
p_05-20240604-1030-04.wav,122.83,vowels_only
p_05-20240604-1030-05.wav,95.95,vowels_only
p_05-20240604-1030-06.wav,159.69,vowels_only
p_05-20240604-1030-07.wav,133.76,vowels_only
p_05-20240604-1030-08.wav,173.89,vowels_only
p_05-20240604-1030-09.wav,95.26,vowels_only
p_05-20240604-1030-10.wav,99.4,vowels_only
p_05-20240604-1030-11.wav,154.5,vowels_only
p_05-20240604-1030-12.wav,170.34,vowels_only
p_05-20240604-1030-13.wav,131.24,vowels_only
p_05-20240604-1030-14.wav,196.09,vowels_only
p_05-20240604-1030-15.wav,100.06,vowels_only
p_05-20240604-1030-16.wav,213.55,vowels_only
p_05-20240604-1030-17.wav,174.69,vowels_only
p_05-20240604-1030-18.wav,97.53,vowels_only
p_05-20240604-1030-19.wav,208.95,vowels_only
p_05-20240604-1030-20.wav,99.03,vowels_only
p_05-20240604-1030-21.wav,147.88,vowels_only
p_05-20240604-1030-22.wav,97.05,vowels_only
p_05-20240604-1030-23.wav,95.01,vowels_only
p_05-20240604-1030-24.wav,156.15,vowels_only
p_05-20240604-1030-25.wav,192.42,vowels_only
p_05-20240604-1030-26.wav,99.93,vowels_only
p_05-20240604-1030-27.wav,108.22,vowels_only
p_05-20240604-1030-28.wav,92.88,vowels_only
p_05-20240604-1030-29.wav,124.14,vowels_only
p_05-20240604-1030-30.wav,114.44,vowels_only
p_05-20240604-1030-31.wav,115.85,vowels_only
p_05-20240604-1030-32.wav,95.28,vowels_only
p_05-20240604-1030-33.wav,207.54,vowels_only
p_05-20240604-1030-34.wav,123.89,vowels_only
p_05-20240604-1030-35.wav,166.72,vowels_only
p_05-20240604-1030-36.wav,147.04,vowels_only
p_05-20240604-1030-37.wav,201.73,vowels_only
p_05-20240604-1030-38.wav,196.18,vowels_only
p_05-20240604-1030-39.wav,146.44,vowels_only
p_05-20240604-1030-40.wav,239.6,vowels_only
p_05-20240604-1030-41.wav,283.3,vowels_only
p_05-20240604-1030-42.wav,369.17,vowels_only
p_05-20240604-1030-43.wav,199.06,vowels_only
p_05-20240604-1030-44.wav,158.03,vowels_only
p_05-20240604-1030-45.wav,92.65,vowels_only
p_05-20240604-1030-46.wav,100.93,vowels_only
p_05-20240604-1030-47.wav,194.83,vowels_only
p_05-20240604-1030-48.wav,121.12,vowels_only
p_05-20240604-1030-49.wav,128.46,vowels_only
p_05-20240604-1030-50.wav,96.28,vowels_only
p_05-20240604-1030-51.wav,120.28,vowels_only
p_05-20240604-1030-52.wav,306.74,vowels_only
p_05-20240604-1030-53.wav,128.68,vowels_only
p_05-20240604-1030-54.wav,193.66,vowels_only
p_05-20240604-1030-55.wav,108.85,vowels_only
p_05-20240604-1030-56.wav,106.33,vowels_only
p_05-20240604-1030-57.wav,146.13,vowels_only
p_05-20240604-1030-58.wav,99.26,vowels_only
p_05-20240604-1030-59.wav,171.91,vowels_only
p_05-20240604-1030-60.wav,114.38,vowels_only
p_05-20240604-1030-61.wav,148.65,vowels_only
p_05-20240604-1030-62.wav,126.55,vowels_only
p_05-20240604-1030-63.wav,126.5,vowels_only
p_05-20240604-1030-64.wav,313.93,vowels_only
p_05-20240604-1044-01.wav,115.78,vowel_and_t
p_05-20240604-1044-02.wav,98.1,vowel_and_t
p_05-20240604-1044-03.wav,96.63,vowel_and_t
p_05-20240604-1044-04.wav,94.64,vowel_and_t
p_05-20240604-1044-05.wav,104.1,vowel_and_t
p_05-20240604-1044-06.wav,123.11,vowel_and_t
p_05-20240604-1044-07.wav,89.68,vowel_and_t
p_05-20240604-1044-08.wav,135.86,vowel_and_t
p_05-20240604-1044-09.wav,152.54,vowel_and_t
p_05-20240604-1044-10.wav,108.79,vowel_and_t
p_05-20240604-1044-11.wav,178.73,vowel_and_t
p_05-20240604-1044-12.wav,94.97,vowel_and_t
p_05-20240604-1044-13.wav,91.44,vowel_and_t
p_05-20240604-1044-14.wav,112.23,vowel_and_t
p_05-20240604-1044-15.wav,154.36,vowel_and_t
p_05-20240604-1044-16.wav,104.64,vowel_and_t
p_05-20240604-1044-17.wav,150.23,vowel_and_t
p_05-20240604-1044-18.wav,156.49,vowel_and_t
p_05-20240604-1044-19.wav,129.25,vowel_and_t
p_05-20240604-1044-20.wav,105.53,vowel_and_t
p_05-20240604-1044-21.wav,202.14,vowel_and_t
p_05-20240604-1044-22.wav,149.52,vowel_and_t
p_05-20240604-1044-23.wav,171.92,vowel_and_t
p_05-20240604-1044-24.wav,136.46,vowel_and_t
p_05-20240604-1044-25.wav,135.38,vowel_and_t
p_05-20240604-1044-26.wav,157.76,vowel_and_t
p_05-20240604-1044-27.wav,233.29,vowel_and_t
p_05-20240604-1044-28.wav,105.52,vowel_and_t
p_05-20240604-1044-29.wav,97.43,vowel_and_t
p_05-20240604-1044-30.wav,127.27,vowel_and_t
p_05-20240604-1044-31.wav,125.87,vowel_and_t
p_05-20240604-1044-32.wav,96.31,vowel_and_t
p_05-20240604-1044-33.wav,129.09,vowel_and_t
p_05-20240604-1044-34.wav,102.83,vowel_and_t
p_05-20240604-1044-35.wav,95.06,vowel_and_t
p_05-20240604-1044-36.wav,142.42,vowel_and_t
p_05-20240604-1044-37.wav,185.53,vowel_and_t
p_05-20240604-1044-38.wav,126.07,vowel_and_t
p_05-20240604-1044-39.wav,146.36,vowel_and_t
p_05-20240604-1044-40.wav,88.82,vowel_and_t
p_05-20240604-1044-41.wav,127.47,vowel_and_t
p_05-20240604-1044-42.wav,96.11,vowel_and_t
p_05-20240604-1044-43.wav,121.61,vowel_and_t
p_05-20240604-1044-44.wav,112.71,vowel_and_t
p_05-20240604-1044-45.wav,140.09,vowel_and_t
p_05-20240604-1044-46.wav,98.43,vowel_and_t
p_05-20240604-1044-47.wav,115.06,vowel_and_t
p_05-20240604-1044-48.wav,120.72,vowel_and_t
p_05-20240604-1044-49.wav,144.1,vowel_and_t
